ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
5,97752,0,4,1,1,43300,26,2077,4,6935,1
10,104860,0,3,1,1,28426,28,1150,3,6931,1
12,96522,0,5,1,1,61105,19,0,0,6924,1
21,120576,0,5,1,1,58831,23,250,2,6896,1
36,123759,0,4,1,1,50572,23,2500,5,7865,1
45,121260,0,3,1,1,18493,18,0,0,7808,0
51,108137,0,1,1,1,6368,5,6368,5,6844,0
53,118531,0,4,1,1,44577,38,0,0,6868,1
54,121395,0,1,1,1,4970,8,650,2,6889,1
60,95118,0,3,1,1,23188,23,2200,7,6865,1
61,134457,0,3,1,1,15588,14,0,0,6861,0
76,123867,0,3,1,1,25308,17,0,0,7759,0
78,129871,0,3,1,1,15776,22,0,0,7752,0
79,109380,0,1,1,1,7537,16,0,0,7749,0
80,111157,0,4,1,1,32883,19,0,0,7771,0
96,143566,0,1,1,1,5000,5,1500,3,6785,1
100,102062,0,4,1,1,44247,16,0,0,6758,0
109,96627,1182,1,1,3,49059,26,2300,9,6738,1
115,124198,0,5,1,1,66330,23,4833,10,7710,0
119,143967,0,2,1,1,7346,11,0,0,7689,0
121,122705,0,3,1,1,24222,15,0,0,7682,1
128,133954,500,4,1,1,37670,18,1500,3,7654,1
132,142175,0,4,1,1,37461,22,0,0,6732,1
135,145074,0,1,1,1,8000,4,0,0,6746,1
136,101101,0,1,1,1,10850,11,1850,6,6725,1
137,125948,0,3,1,1,15155,15,0,0,6761,1
139,129298,0,4,1,1,29099,15,0,0,6722,0
140,103302,0,4,1,1,53552,22,700,3,6718,1
146,126787,0,4,1,1,35021,17,0,0,6701,0
148,100640,0,1,1,1,7600,8,1600,5,6708,1
129,602064,0,5,1,1,194753,26,2250,10,7652,1
138,259484,1776,1,1,1,19172,26,7172,23,6723,1
9,443003,0,3,2,1,1753,43,3850,12,6948,1
22,185681,2024,1,1,1,13300,16,1800,9,6896,1
23,20584,0,1,1,1,3450,11,3450,11,6884,0
43,60313,0,1,1,1,10000,26,3250,9,7829,1
46,288865,967,1,1,1,23600,14,2000,4,6884,1
51,108137,0,1,1,1,6368,5,6368,5,6844,0
114,298911,0,1,1,1,8550,11,2550,8,7714,1
138,259484,1776,1,1,1,19172,26,7172,23,6723,1
66,53914,0,3,1,1,33767,45,5550,29,6826,1
97,185549,0,5,1,1,110859,39,2950,16,6778,1
115,124198,0,5,1,1,66330,23,4833,10,7710,0
124,205126,0,5,1,1,126630,45,2250,10,7668,1
129,602064,0,5,1,1,194753,26,2250,10,7652,1
130,213150,0,4,1,1,56308,41,5200,14,7645,1
138,259484,1776,1,1,1,19172,26,7172,23,6723,1
