ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
1,28143,0,1,1,1,174,1,0,0,7000,0
3,41354,0,1,1,1,4123,4,0,0,7034,0
11,40091,0,2,1,1,7278,10,0,0,6959,0
13,43382,0,2,1,1,11150,20,0,0,6924,0
14,43097,0,1,1,1,3258,6,0,0,6918,0
16,28495,0,4,1,1,49442,15,0,0,6912,1
35,43832,0,1,1,1,0,0,0,0,7865,0
41,34616,0,1,1,1,1750,4,500,1,7850,0
43,60313,0,1,1,1,10000,26,3250,9,7829,1
48,36924,0,1,1,1,5900,6,300,2,6879,1
55,38348,0,1,1,1,0,0,0,0,6861,0
58,36298,0,1,1,1,3100,5,600,3,6865,1
59,38077,0,3,1,1,34024,8,0,0,6837,0
71,47457,0,3,1,1,12621,16,0,0,7766,1
86,61990,0,1,1,1,1625,6,0,0,6833,0
88,35418,0,5,1,1,58557,18,900,3,6813,1
89,40284,0,1,1,1,7719,5,0,0,6827,1
92,48433,0,1,1,1,3500,4,500,1,6807,1
99,57346,0,1,1,1,5560,23,0,0,6766,0
103,25076,1182,5,1,1,57203,14,0,0,6750,1
105,35119,0,1,1,1,0,0,0,0,6749,0
106,28667,0,1,1,1,3861,7,2050,5,6749,1
107,34327,0,1,1,1,0,0,0,0,6745,0
110,43498,0,1,1,1,0,0,0,0,6759,1
116,56906,0,1,1,1,2015,13,0,0,7707,1
126,47258,0,3,1,1,24768,19,0,0,7659,1
131,48333,0,2,1,1,10123,14,0,0,6737,1
143,39628,0,1,1,1,0,0,0,0,6711,0
145,31769,0,1,1,1,450,2,450,2,6707,0
147,41547,0,3,1,1,16857,17,0,0,6697,0
160,44182,0,3,1,1,12313,12,0,0,7619,1
162,46823,0,1,1,1,5860,12,0,0,7613,0
172,21694,0,4,1,1,45230,20,700,2,7575,1
174,35820,0,1,1,1,0,0,0,0,7575,0
180,28086,1745,2,1,1,7368,12,0,0,7549,1
181,60230,0,1,1,1,500,1,0,0,7544,1
183,48145,0,1,1,1,10735,27,0,0,7540,0
186,32948,0,1,1,1,50,1,50,1,7569,0
188,49885,0,3,1,1,23640,17,0,0,7533,0
197,52738,2398,1,1,1,0,0,0,0,7498,0
200,32742,0,5,1,1,61857,26,0,0,7488,1
204,41385,0,4,1,1,26948,14,0,0,7481,1
205,28621,0,2,1,1,13878,20,1400,10,7479,1
208,37348,0,1,1,1,0,0,0,0,7472,0
209,51468,0,1,1,1,2278,9,0,0,7460,0
212,27381,0,3,1,1,18009,18,0,0,7524,1
215,31588,0,1,1,1,2947,8,0,0,7463,0
221,59797,0,1,1,1,7069,4,0,0,7444,0
232,53715,0,2,1,1,7164,15,300,2,7416,0
240,46184,0,1,1,1,3125,12,500,1,7388,0
249,12526,0,4,1,1,56076,19,3850,11,7375,1
254,62882,0,1,1,1,1925,8,0,0,7375,0
255,30015,0,1,1,1,5875,32,0,0,7341,0
257,45225,0,3,1,1,14711,15,0,0,7339,1
261,25279,0,2,1,1,14938,26,0,0,7327,1
267,47557,0,2,1,1,10267,18,200,3,7345,0
268,35065,0,1,1,1,5400,5,1400,3,7311,1
270,35900,0,1,1,1,0,0,0,0,7304,0
271,43088,0,1,1,1,4000,1,0,0,7345,0
278,51250,0,1,1,1,0,0,0,0,7283,0
283,22652,0,5,1,1,57642,14,0,0,7271,1
285,44873,0,4,1,1,38740,18,850,2,7267,1
290,33982,0,5,1,1,68320,17,0,0,7255,1
293,45586,0,4,1,1,37459,15,0,0,7246,0
303,35945,0,1,1,1,0,0,0,0,7220,0
304,28218,0,1,1,1,750,4,750,4,7232,1
313,46430,0,1,1,1,2100,4,500,1,7194,0
315,20746,0,4,1,1,37534,17,0,0,7185,1
323,52060,0,1,1,1,6500,3,0,0,7162,1
326,20457,0,4,1,1,51399,16,0,0,7193,1
328,50325,0,3,1,1,11930,14,0,0,7155,0
335,47958,0,1,1,1,0,0,0,0,7130,0
338,42363,0,1,1,1,0,0,0,0,7120,1
342,34956,0,1,1,1,0,0,0,0,7172,0
343,46963,0,1,1,1,1500,5,0,0,7117,0
347,38718,0,1,1,1,0,0,0,0,7314,0
349,54005,0,1,1,1,1500,5,0,0,7099,0
359,41279,0,3,1,1,14462,20,1650,6,7064,0
363,51088,0,1,1,1,0,0,0,0,7057,0
369,38227,0,2,1,1,8612,13,0,0,7036,0
371,53985,0,1,1,1,1000,1,0,0,7029,1
373,44457,0,1,1,1,225,3,0,0,7026,0
391,35969,0,2,1,1,11665,21,0,0,6977,0
397,54842,0,3,1,1,20792,15,0,0,8296,1
407,56635,0,1,1,1,1024,8,359,2,8296,0
420,58452,0,1,1,1,0,0,0,0,8296,0
432,60493,0,1,1,1,9000,1,0,0,8289,0
438,50431,0,1,1,1,1000,1,0,0,8289,1
457,52953,0,1,1,1,500,1,0,0,8289,0
460,49053,0,1,1,1,6498,18,950,5,8289,0
462,34170,0,3,1,1,15476,20,150,1,8289,1
464,43285,0,4,1,1,28613,14,0,0,8252,1
465,52980,0,3,1,1,17078,14,0,0,8237,0
468,26080,0,2,1,1,9872,13,0,0,8228,1
469,29469,0,1,1,1,2522,4,0,0,8228,0
479,52005,0,3,1,1,11870,15,100,1,8228,0
480,45494,0,1,1,1,5021,16,600,2,8228,0
486,38716,0,2,1,1,8253,21,0,0,8114,0
490,62396,2128,1,1,1,1250,3,0,0,8075,1
491,40645,0,3,1,1,18348,13,0,0,8067,1
497,46874,0,1,1,1,9689,38,500,1,7990,0
498,10879,0,5,1,1,78186,32,3400,12,7981,1
526,28930,0,1,1,1,8185,17,0,0,6630,0
531,43387,0,1,1,1,4942,13,0,0,6613,0
532,52423,0,4,1,1,26926,13,0,0,6611,1
533,26858,500,4,1,1,34308,17,900,3,6606,1
541,31478,0,3,1,1,18885,18,0,0,6578,1
547,59552,0,1,1,1,7551,22,0,0,6473,1
548,34962,0,1,1,1,252,3,0,0,6208,0
550,28931,0,1,1,1,6500,4,500,1,6354,1
565,28077,0,1,1,1,735,6,500,1,6575,0
567,40418,0,3,1,1,12678,12,0,0,6541,1
574,35738,0,4,1,1,41264,16,0,0,6526,1
576,55703,0,1,1,1,0,0,0,0,6520,0
580,30592,862,1,1,1,2602,7,0,0,6512,0
582,51830,0,1,1,1,0,0,0,0,6507,0
583,20126,0,5,1,1,78999,28,800,3,6506,1
588,49454,0,2,1,1,9548,22,250,1,6501,0
589,58421,0,1,1,1,1000,1,0,0,6532,0
590,33443,0,1,1,1,0,0,0,0,6476,0
595,31311,0,1,1,1,3961,10,0,0,6494,0
600,37904,0,3,1,1,19052,17,0,0,6487,1
601,41243,0,4,1,1,27971,7,300,1,6483,0
609,34540,0,4,1,1,27882,13,0,0,6494,0
618,45830,0,2,1,1,23404,10,0,0,6459,0
620,41487,500,1,1,1,10885,7,0,0,6451,1
621,39601,0,1,1,1,3733,9,0,0,6450,1
622,46142,0,3,1,1,14445,13,0,0,6452,1
629,29861,0,4,1,1,28190,15,0,0,6407,1
636,33554,0,4,1,1,27410,16,350,1,6428,1
